Wall time,Step,Value
1618412430.4040587,5,103794016.0
1618412531.8305488,15,91070456.0
1618412567.660478,18,87251912.0
1618412631.1430001,24,79619888.0
1618412799.897936,40,59264400.0
1618412819.8939426,42,56716728.0
1618412840.9217935,44,54171704.0
1618412853.6398404,45,52895832.0
1618412877.120907,47,50357448.0
1618412940.2664306,53,42707952.0
1618412948.8995364,54,41425892.0
1618412968.2932057,56,38879152.0
1618413065.960178,65,27375628.0
1618413128.4305446,71,19717834.0
1618413139.3085983,72,18456556.0
1618413149.3533266,73,17197308.0
1618413156.9924746,74,15959752.0
1618413213.4806595,79,10147317.0
1618413300.8643308,87,3994580.0
1618413373.4760532,94,1926422.0
1618413458.8643985,102,1414404.0
1618413488.2935767,105,1040797.0
1618413498.7503726,106,1303304.0
1618413576.117427,113,1177324.0
1618413632.7248878,118,867672.0
1618413715.771609,126,1645036.0
1618413752.0386174,129,1270459.0
1618413760.0282805,130,1513540.0
1618413852.6347487,139,677067.0
1618413876.6726165,141,1023834.0
1618413886.4013572,142,746567.0
1618413969.4290063,150,759923.0
1618414023.4002142,155,1125715.0
1618414052.6578383,158,637703.0
1618414149.209961,167,577152.0
1618414156.8788989,168,792537.0
1618414250.6058683,177,628754.0
1618414264.376056,178,1375181.0
1618414314.8981624,183,540048.0
1618414338.967954,185,498425.0
1618414346.3342538,186,538981.0
1618414395.087193,190,1460543.0
1618414473.5748968,198,784145.0
1618414563.1819866,206,689909.0
1618414576.4010575,207,1750261.0
1618414584.6068943,208,973669.0
1618414623.1831343,212,493972.0
1618414738.9589179,223,751771.0
1618414799.3590364,229,439992.0
1618414859.6168578,234,1300026.0
1618414901.8744752,237,590898.0
1618415056.0913663,249,702609.0
1618415099.805785,255,899803.0
1618415134.8460937,260,835086.0
1618415156.0081627,263,465298.0
1618415184.2020462,267,532007.0
1618415212.3839376,271,829828.0
1618415226.4673457,273,418635.0
1618415360.4859061,292,468445.0
1618415395.7051857,297,1411452.0
1618415402.7496464,298,1502792.0
1618415438.002635,303,1383076.0
1618415466.1971693,307,475975.0
1618415473.2263317,308,360214.0
1618415487.1994026,310,358826.0
1618415543.6458917,318,675735.0
1618415551.1894243,319,626490.0
1618415593.4032326,325,449556.0
1618415600.4344778,326,1220859.0
1618415607.5050185,327,661711.0
1618415628.6131892,330,435753.0
1618415718.7523882,339,894359.0
1618415813.1913123,347,562022.0
1618415993.1583035,363,812503.0
1618416039.97289,367,534706.0
1618416106.846482,373,595383.0
1618416149.9278467,377,468256.0
1618416173.2711465,379,912034.0
1618416313.075669,391,433881.0
1618416324.698222,392,1254205.0
1618416502.8421102,408,371669.0
1618416647.5930672,421,480068.0
1618416659.4197407,422,385350.0
1618416682.5421457,424,363193.0
1618416752.7449505,430,652521.0
1618416851.358587,439,1365390.0
1618416873.0469875,441,589598.0
1618416884.7134252,442,463042.0
1618416919.6061723,445,713921.0
1618416989.291643,451,453194.0
1618417089.7870364,460,421647.0
1618417121.318595,463,726643.0
1618417132.826191,464,481977.0
1618417237.606137,473,449520.0
1618417249.2185574,474,374499.0
1618417416.6789596,489,354313.0
1618417440.0835688,491,743685.0
1618417463.4448745,493,385017.0
1618417619.161969,507,1110765.0
1618417677.2740598,512,324471.0
1618417700.5416496,514,631881.0
1618417735.6714427,517,1184985.0
1618417824.982436,525,357136.0
1618417892.1582966,531,356337.0
1618417915.4290187,533,776402.0
1618417950.7255414,536,722143.0
