Wall time,Step,Value
1618412430.4459298,5,34860.0
1618412531.86005,15,34609.0
1618412567.67827,18,34511.0
1618412631.160813,24,34240.0
1618412799.949091,40,33847.0
1618412819.9115937,42,33773.0
1618412840.9499693,44,33651.0
1618412853.6658726,45,33768.0
1618412877.1478426,47,33437.0
1618412940.293708,53,33274.0
1618412948.9262815,54,33273.0
1618412968.3550758,56,33060.0
1618413065.9865334,65,32575.0
1618413128.456454,71,32268.0
1618413139.3360267,72,32447.0
1618413149.378664,73,32249.0
1618413157.0199943,74,32134.0
1618413213.4983785,79,31902.0
1618413300.8820121,87,31280.0
1618413373.5028436,94,31520.0
1618413458.8894603,102,31724.0
1618413488.311262,105,31220.0
1618413498.7941666,106,32252.0
1618413576.135126,113,32974.0
1618413632.7425823,118,32006.0
1618413715.8163455,126,33112.0
1618413752.056102,129,32139.0
1618413760.0542758,130,32735.0
1618413852.6594057,139,31982.0
1618413876.7015052,141,31361.0
1618413886.4246776,142,31591.0
1618413969.4575622,150,31536.0
1618414023.4180555,155,32485.0
1618414052.6939096,158,32368.0
1618414149.2294512,167,31728.0
1618414156.907294,168,31582.0
1618414250.6320455,177,31383.0
1618414264.4202428,178,32820.0
1618414314.9262471,183,29573.0
1618414338.9856462,185,31082.0
1618414346.3519416,186,31365.0
1618414395.1048687,190,32628.0
1618414473.5933576,198,31756.0
1618414563.2252867,206,30407.0
1618414576.4288604,207,32850.0
1618414584.625043,208,30677.0
1618414623.2117653,212,29572.0
1618414738.9949343,223,29664.0
1618414799.3899305,229,28445.0
1618414859.64533,234,31364.0
1618414901.898413,237,29606.0
1618415056.118426,249,30886.0
1618415099.8234138,255,29230.0
1618415134.8636656,260,31216.0
1618415156.0257726,263,27403.0
1618415184.2197733,267,28185.0
1618415212.4015298,271,30051.0
1618415226.484945,273,27402.0
1618415360.50353,292,28388.0
1618415395.7228026,297,31814.0
1618415402.7673209,298,32228.0
1618415438.0201633,303,29872.0
1618415466.2147841,307,28716.0
1618415473.2439766,308,26637.0
1618415487.217028,310,26271.0
1618415543.6655772,318,28016.0
1618415551.2069983,319,27433.0
1618415593.4207282,325,30280.0
1618415600.452079,326,30711.0
1618415607.5226166,327,29390.0
1618415628.6307602,330,28015.0
1618415718.792831,339,28863.0
1618415813.2316134,347,26982.0
1618415993.1986823,363,29161.0
1618416039.9993358,367,28235.0
1618416106.8641257,373,28404.0
1618416149.9681215,377,26868.0
1618416173.2917986,379,27334.0
1618416313.1160328,391,26354.0
1618416324.722193,392,29547.0
1618416502.8597262,408,26154.0
1618416647.6114876,421,27257.0
1618416659.4602435,422,26344.0
1618416682.5824575,424,24870.0
