Wall time,Step,Value
1618412430.4271343,5,119215216.0
1618412531.8492398,15,107282816.0
1618412567.6717374,18,103450088.0
1618412631.1542943,24,95640984.0
1618412799.9295633,40,74545792.0
1618412819.9051356,42,71910496.0
1618412840.9391506,44,69285832.0
1618412853.656051,45,67978104.0
1618412877.137829,47,65404344.0
1618412940.282697,53,57668572.0
1618412948.916565,54,56396596.0
1618412968.3312094,56,53887232.0
1618413065.9764693,65,42850576.0
1618413128.4460022,71,35859244.0
1618413139.325634,72,34730712.0
1618413149.3692706,73,33589868.0
1618413157.0091214,74,32485012.0
1618413213.4918847,79,27151940.0
1618413300.8755727,87,19469648.0
1618413373.4927564,94,14077145.0
1618413458.8801339,102,11071848.0
1618413488.3048234,105,9146936.0
1618413498.7802694,106,9627520.0
1618413576.1286836,113,12223535.0
1618413632.736136,118,8373480.0
1618413715.7961435,126,13880614.0
1618413752.0498092,129,10375599.0
1618413760.0438633,130,10714915.0
1618413852.6502979,139,8491426.0
1618413876.6896567,141,7275462.0
1618413886.4157956,142,6999711.0
1618413969.4467955,150,6503185.0
1618414023.4115212,155,9440213.0
1618414052.6777923,158,6388986.0
1618414149.2223194,167,6777306.0
1618414156.8961663,168,7333863.0
1618414250.6220284,177,7080377.0
1618414264.4017003,178,12075063.0
1618414314.915052,183,5764132.0
1618414338.9791956,185,6284842.0
1618414346.3455193,186,5690065.0
1618414395.0984652,190,11199515.0
1618414473.586525,198,7063492.0
1618414563.208429,206,6999141.0
1618414576.4186985,207,12067178.0
1618414584.6182294,208,7475303.0
1618414623.201287,212,5791248.0
1618414738.9810903,223,6487022.0
1618414799.3772585,229,4831707.0
1618414859.6346214,234,10403642.0
1618414901.8884215,237,6170715.0
1618415056.108131,249,8533873.0
1618415099.8169813,255,7097856.0
1618415134.8573427,260,6832351.0
1618415156.0193431,263,5128504.0
1618415184.2133043,267,5173519.0
1618415212.3951275,271,6829162.0
1618415226.4784982,273,4986888.0
1618415360.4970975,292,5657553.0
1618415395.7163846,297,12224039.0
1618415402.7608662,298,12830505.0
1618415438.0138571,303,7620513.0
1618415466.208352,307,5939408.0
1618415473.23754,308,5354673.0
1618415487.2105591,310,4913899.0
1618415543.6584203,318,6036178.0
1618415551.2006092,319,5779141.0
1618415593.4144256,325,7781167.0
1618415600.4456458,326,9102704.0
1618415607.5162253,327,6984754.0
1618415628.624368,330,5544096.0
1618415718.7775228,339,7129833.0
1618415813.216433,347,6047991.0
1618415993.1834126,363,7675875.0
1618416039.9859235,367,6206975.0
1618416106.857712,373,6347246.0
1618416149.952937,377,5600287.0
1618416173.28533,379,6560895.0
1618416313.1007102,391,5255862.0
1618416324.7107356,392,8352317.0
1618416502.8532906,408,4771799.0
1618416647.6042576,421,6083773.0
1618416659.4449594,422,5559113.0
1618416682.5672474,424,5109610.0
1618416752.7700827,430,9607326.0
1618416851.383682,439,8441596.0
1618416873.071984,441,6067413.0
1618416884.7384489,442,5584183.0
1618416919.62108,445,7449157.0
1618416989.3166382,451,5205072.0
1618417089.7982073,460,5805412.0
1618417121.3435931,463,6711981.0
1618417132.8373513,464,5647059.0
1618417237.6281865,473,5159208.0
1618417249.2435918,474,4905007.0
1618417416.703987,489,5002808.0
1618417440.108514,491,6097580.0
1618417463.4698536,493,4999492.0
1618417619.1869972,507,9256504.0
1618417677.2991545,512,5020270.0
1618417700.5665686,514,6164808.0
1618417735.6964746,517,8428089.0
1618417825.0075428,525,4997906.0
1618417892.1834366,531,4932341.0
1618417915.4482164,533,8452356.0
1618417950.7506208,536,6661525.0
1618418020.7466795,542,6467827.0
1618418074.3265405,547,7146950.0
1618418188.936845,557,5972105.0
1618418211.9162862,559,10140921.0
1618418258.4026134,563,7339669.0
1618418321.6685746,569,5236788.0
1618418366.8179183,573,5073184.0
1618418378.379466,574,4940041.0
1618418436.2679543,579,8058625.0
1618418459.3199327,581,5986466.0
1618418470.8212821,582,5549410.0
1618418493.8707862,584,5097919.0
1618418517.1265185,586,5697475.0
1618418528.7298002,587,5270516.0
1618418579.6396496,592,8828322.0
1618418590.8988245,593,6203379.0
1618418695.8981502,602,5018867.0
1618418765.9689612,608,5580509.0
1618418788.5189404,610,5030939.0
1618418840.6579194,615,5302856.0
1618418898.3703053,620,5794864.0
1618418921.6626382,622,5273538.0
1618419055.3163502,634,5042098.0
1618419135.4396455,641,4952077.0
1618419147.0601652,642,4863370.0
1618419170.1202607,644,5665597.0
1618419181.7274332,645,5261993.0
1618419193.300662,646,6618909.0
1618419204.9686751,647,5405401.0
1618419228.5878787,649,4964672.0
1618419263.4598465,652,6063897.0
1618419304.017305,656,5853851.0
1618419361.221166,661,4906727.0
1618419396.1825585,664,8522254.0
1618419442.2492857,668,5047512.0
1618419477.064522,671,5405925.0
1618419488.6861436,672,5086762.0
1618419512.0192008,674,5203672.0
1618419522.8426614,675,4989646.0
1618419552.0893283,678,5284488.0
1618419562.915264,679,5109388.0
1618419597.7005734,682,5109714.0
1618419609.2944489,683,4916542.0
1618419667.8305988,688,5143388.0
1618419679.393769,689,7308069.0
1618419760.9334002,696,7264780.0
1618419789.673687,699,5344287.0
1618419835.4177258,703,11471376.0
1618419870.456852,706,9012430.0
1618419893.8801115,708,6466069.0
1618419917.1339386,710,8482516.0
1618419963.6164894,714,5221549.0
1618420009.6980917,718,4890495.0
1618420038.416308,721,11084467.0
1618420049.224664,722,8892892.0
1618420060.8675413,723,7681032.0
1618420142.1237543,730,6029186.0
1618420211.7010515,736,9124673.0
1618420235.147418,738,6362128.0
1618420246.9608757,739,5790874.0
1618420286.8931253,743,5036944.0
1618420332.3398001,747,6466169.0
1618420367.110119,750,5962815.0
1618420378.7687237,751,5565538.0
1618420390.4382174,752,5279371.0
1618420413.581336,754,5002956.0
1618420436.7815924,756,4905335.0
1618420534.5966957,765,5003821.0
1618420545.7559867,766,4925721.0
1618420580.4409213,769,4822895.0
1618420592.040248,770,4780169.0
1618420603.6162567,771,4750139.0
1618420626.8880618,773,4766559.0
1618420638.5645478,774,6924999.0
1618420708.3458912,780,4867657.0
1618420752.604955,784,5049668.0
1618420762.0404418,785,4925749.0
1618420782.6891925,787,5738603.0
1618420805.8962631,789,4959888.0
1618420840.9385872,792,6521617.0
1618420852.6566992,793,5553605.0
1618420864.255933,794,5195221.0
1618420875.7380419,795,5022752.0
1618420910.5200984,798,4773311.0
1618420957.0846622,802,6149802.0
1618421010.3327255,807,4865298.0
1618421021.04765,808,4833691.0
1618421032.0506947,809,4916353.0
1618421101.5541646,815,7259496.0
1618421171.1460316,821,5782239.0
1618421217.3957033,825,5034771.0
1618421248.027392,828,5615903.0
1618421290.8174102,832,10137629.0
1618421337.2669697,836,5705235.0
1618421360.654615,838,5246333.0
1618421419.1337984,843,5035336.0
1618421453.8512874,846,4801748.0
1618421693.0924466,867,5068037.0
1618421716.2513967,869,7128355.0
1618421726.505059,870,6211281.0
1618421767.3991232,874,5019424.0
1618421790.882054,876,4841554.0
1618421837.5796518,880,5858943.0
1618421860.4849105,882,5244706.0
1618421953.5237434,890,4971575.0
1618422016.284439,896,5219896.0
1618422062.9616446,900,4763947.0
1618422144.5575235,907,5167439.0
1618422156.161926,908,5034212.0
1618422167.9121065,909,4907543.0
1618422179.622407,910,4871836.0
1618422232.7901447,915,5923581.0
1618422254.1134346,917,5240992.0
1618422289.0684419,920,4983882.0
1618422300.6867151,921,4870314.0
1618422324.19377,923,6608936.0
1618422417.7784398,931,4650470.0
1618422429.6253653,932,4622909.0
1618422462.3358614,935,7316182.0
1618422538.8343563,942,5163908.0
1618422573.4273038,945,4775342.0
1618422678.0325544,954,4992844.0
1618422700.8447006,956,4830414.0
1618422710.348145,957,8457918.0
1618422720.0285933,958,6229178.0
1618422752.472732,961,5002149.0
1618422764.1109,962,8713476.0
1618422810.4036858,966,5271542.0
1618422868.6458366,971,4641201.0
1618422880.3674784,972,4634575.0
1618422927.1283884,976,4557863.0
1618422938.5562363,977,4552301.0
1618422948.716723,978,4524964.0
1618422958.166163,979,4539873.0
1618423001.317334,983,5723202.0
1618423013.0500677,984,10654419.0
1618423047.9752786,987,5625068.0
1618423059.6255336,988,5311074.0
1618423152.9928136,996,5669023.0
1618423197.496561,1000,4743562.0
1618423217.0144691,1002,4635771.0
1618423239.9436018,1004,4575288.0
1618423251.6537097,1005,4593963.0
1618423334.621423,1012,4608410.0
1618423346.7463813,1013,4550944.0
1618423358.5639684,1014,4553594.0
1618423394.1425319,1017,7935961.0
1618423484.681531,1025,4587593.0
1618423508.039422,1027,4570672.0
1618423554.517971,1031,5908612.0
1618423566.0138664,1032,5449367.0
1618423601.0386395,1035,4803028.0
1618423624.7349772,1037,4636801.0
1618423703.6436124,1044,4827131.0
1618423835.584739,1055,5158213.0
1618423858.781294,1057,4854596.0
1618423929.1774113,1063,4896491.0
1618423940.8290381,1064,4783023.0
1618423961.6446526,1066,4605693.0
1618423987.1010342,1068,4552800.0
1618424034.1858473,1072,8112584.0
1618424081.4350824,1076,5201257.0
1618424105.5576189,1078,4840138.0
1618424164.1236851,1083,4543884.0
1618424175.6229663,1084,6343446.0
1618424186.655251,1085,5483512.0
1618424282.1166334,1093,4620119.0
1618424352.1257029,1099,4417637.0
1618424398.729929,1103,7037863.0
1618424410.2033467,1104,6016829.0
1618424422.0170968,1105,5491589.0
1618424526.945765,1114,4538251.0
1618424550.2944443,1116,4443135.0
1618424585.904621,1119,9646453.0
1618424655.9932582,1125,5160627.0
1618424667.4316628,1126,5005602.0
1618424747.3572042,1133,5281348.0
1618424770.7774274,1135,4823082.0
1618424998.5086315,1155,4362986.0
1618425010.1859367,1156,4330154.0
1618425056.7211344,1160,4323961.0
1618425068.4567184,1161,5021839.0
1618425079.9505875,1162,4714963.0
1618425283.7169554,1180,4471858.0
1618425319.0091553,1183,5404769.0
1618425342.989377,1185,4776150.0
1618425424.5657895,1192,4281636.0
1618425435.8278036,1193,4298860.0
1618425501.370008,1199,4211566.0
1618425525.078804,1201,7144327.0
1618425583.1449056,1206,4780957.0
1618425606.2075942,1208,4494068.0
1618425629.9159963,1210,4381890.0
1618425675.9984543,1214,4262070.0
1618425785.2133806,1224,4634347.0
1618425877.9340153,1232,4277756.0
1618425889.3057725,1233,8878441.0
1618425901.0506594,1234,7111341.0
1618425924.5285707,1236,6964653.0
1618425953.3059678,1239,5216268.0
1618426010.6598687,1244,4467163.0
1618426045.7004166,1247,4323152.0
1618426116.2583444,1253,6264709.0
1618426139.4784806,1255,5253610.0
